molecule_chembl_id,canonical_smiles,standard_value,standard_value_norm,pIC50
CHEMBL1085032,CN(CCOCCNC(=S)Nc1ccccn1)Cc1ccccc1,4000.0,4000.0,5.397940008671929
CHEMBL99605,CN(CCOCCNC(=S)NC1CCCCC1)Cc1ccccc1,1400.0,1400.0,5.853871964321452
CHEMBL329733,CCN(CCOCCNC(=O)NCc1ccccc1)CC1CCCCC1,10000.0,10000.0,4.9999999999999565
CHEMBL98497,CN(CCOCCNC(=O)Nc1ccc([N+](=O)[O-])cc1)Cc1ccccc1,2300.0,2300.0,5.638272163982219
CHEMBL1083789,NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,319.0,319.0,6.496209316941457
CHEMBL258928,NCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,89.0,89.0,7.050609993350207
CHEMBL1083790,NCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,131.0,131.0,6.882728704340921
CHEMBL1084092,NCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,147.0,147.0,6.8326826652488695
CHEMBL1084093,NCCCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,180.0,180.0,6.744727494894281
CHEMBL1083791,CN(C)CCCCCCCNc1c2c(nc3ccccc13)CCCC2,52.0,52.0,7.283996656356849
CHEMBL1084094,CN(C)CCCCCCCCNc1c2c(nc3ccccc13)CCCC2,47.0,47.0,7.327902142055042
CHEMBL1084095,CN(C)CCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,71.0,71.0,7.148741651274808
CHEMBL1084367,CN(C)CCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,45.0,45.0,7.346787486215005
CHEMBL1084368,CN(C)CCCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,264.0,264.0,6.578396073128524
CHEMBL1084369,c1ccc2c(NCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,12.8,12.8,7.892790030318202
CHEMBL1084096,c1ccc2c(NCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,13.6,13.6,7.8664610915978495
CHEMBL1084530,c1ccc2c(NCCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,83.0,83.0,7.080921907618694
CHEMBL1084531,c1ccc2c(NCCCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,176.0,176.0,6.754487332183382
CHEMBL1084774,c1ccc(NCCCCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,261.0,261.0,6.583359492660055
CHEMBL1084775,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,10.1,10.1,7.995678626174358
CHEMBL1082738,c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,8.8,8.8,8.05551732780048
CHEMBL1082739,c1ccc2c(NCCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,38.0,38.0,7.420216403371761
CHEMBL118752,Nc1c2c(nc3ccccc13)CCC2,56.0,56.0,7.251811972986045
CHEMBL330883,Nc1c2c(nc3ccccc13)CCCCC2,39.0,39.0,7.408935392962365
CHEMBL118968,Nc1c2c(nc3ccccc13)CCCCCC2,9100.0,9100.0,5.040958607678859
CHEMBL331637,CC12CCC(c3c1nc1ccccc1c3N)C2(C)C,110000.0,110000.0,3.958607314841771
CHEMBL118033,COc1ccc2c(c1)CCc1c-2nc2ccccc2c1N,47000.0,47000.0,4.327902142064273
CHEMBL1084952,Nc1c2c(nc3ccccc13)-c1cc(Br)ccc1CC2,144100.0,144100.0,3.8413360191860075
CHEMBL332454,Nc1c2c(nc3ccccc13)-c1ccccc1CCC2,166100.0,166100.0,3.7796303675486027
CHEMBL119634,COc1ccc2c(c1)CCCc1c-2nc2ccccc2c1N,68800.0,68800.0,4.162411561764483
CHEMBL118139,Nc1c2c(nc3ccccc13)CCCc1ccccc1-2,38200.0,38200.0,4.41793663708828
CHEMBL117826,Nc1c2ccccc2nc2c1cnc1cc(Cl)ccc12,1000000.0,1000000.0,2.9999999999999996
CHEMBL115697,Nc1c2c(nc3ccccc13)-c1ccccc1NCC2,69400.0,69400.0,4.1586405295451385
CHEMBL325203,Nc1c2c(nc3ccccc13)-c1ccccc1NCCC2,391100.0,391100.0,3.407712184047868
